id,total_men,total_women,total_pop,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,age1,age2,age3,age4,age5,illiteracy,illiteracy11_19,illiteracy20_39,illiteracy40_59,illiteracy_60,illiteracy_m,illiteracy_f,illiteracy_m_11_19,illiteracy_f_11_19,illiteracy_m_21_39,illiteracy_f_21_39,illiteracy_m_40_59,illiteracy_f_40_59,illiteracy_m_60,illiteracy_f_60,orthodox,protestant,rcatholic,muslim,otherrel,orthd,cthlc,evngl,muslm,othr_r,s_lang_srb_cro_svn,s_lang_othr_slavic,s_lang_hungarian,s_lang_german,s_lang_albanian,s_lang_other,t_employed_agriculture_perc,t_employed_agriculture_men_perc,t_employed_agriculture_women_perc,t_employed_industry_perc,t_employed_industry_men_perc,t_employed_industry_women_perc,t_employed_commerce_perc,t_employed_commerce_men_perc,t_employed_commerce_women_perc,t_employed_public_service_perc,t_employed_public_service_men_perc,t_employed_public_service_women_perc,t_employed_other_perc,t_employed_other_men_perc,t_employed_other_women_perc
132,17658,18557,36215,7832,4454,11892,7402,4635,21.6,12.3,32.8,20.4,12.8,59,43.42164347,49.73932055,65.82004864,86.53721683,40.8,75.8,26.5,60.1,31.5,68.2,44.4,82.5,74.9,97.4,97.4,0.1,2.4,0.1,0.02,35285,872,23,27,8,74.88,0.28,0.18,0.19,0.036,24.44,89.27094234,85.27155807,96.48044693,8.127771964,11.62160068,1.829608939,0.976727961,1.448826218,0.125698324,1.021577715,1.231889672,0.642458101,0.602980017,0.426125358,0.921787709
133,9374,10255,19629,5313,2392,6477,3533,1914,27.1,12.2,33,18,9.8,66.5,60.36789298,60.92326694,69.94056043,86.67711599,48.5,82.3,44.4,76.1,42.9,77.9,48.2,85.5,74.2,97.7,99.8,0,0.1,0,0.01,19599,24,3,1,2,90.72,0.13,0.02,0.02,0.000,9.12,92.06555411,90.88920144,94.1518847,5.206355551,5.657133927,4.406873614,0.879384431,1.265822785,0.194013304,1.149195563,1.531489295,0.471175166,0.699510343,0.656352555,0.776053215
134,11022,10743,21765,6880,3503,6130,3202,2050,31.6,16.1,28.2,14.7,9.4,44,28.83242935,34.71451876,56.74578389,77.75609756,22.3,65.9,15.9,40.7,12,58.3,19.3,90,62.8,97.9,99.1,0,0.7,0.3,0.00,21565,144,0,55,1,99.63,0.18,0.00,0.00,0.023,0.17,84.57103772,79.05218782,95.88673621,5.315614618,7.035906382,1.788375559,2.091068986,3.023695305,0.178837556,6.976744186,9.972379706,0.834575261,1.045534493,0.915830789,1.31147541
135,34046,33259,25640,7424,3485,8807,4114,1810,29,13.6,34.3,16,7.1,70.5,58.07747489,66.70830022,79.50899368,92.32044199,49.7,92,36.4,80.5,44.5,92.3,58.8,96.9,84.6,99.6,97.5,0,2.3,0.1,0.05,24990,600,5,31,14,95.60,0.24,0.08,0.04,0.000,4.04,83.31664484,77.07013705,95.93023256,13.55618886,19.4172521,1.720930233,0.870368944,1.197742716,0.209302326,1.124547485,1.497178395,0.372093023,1.132249865,0.817689739,1.76744186
136,22152,23345,45497,16164,7131,13346,6148,2708,35.5,15.7,29.3,13.5,6,77.2,67.84462207,76.39742245,83.08392973,92.42983752,55.8,96.5,42.1,93.5,53.9,96.6,63.3,98.5,85.7,99.1,97.4,0,0.1,2.5,0.00,44313,50,0,1134,0,97.38,0.04,0.04,0.00,0.000,2.55,97.31162258,96.26094502,98.92316999,1.714258428,2.327048986,0.774349667,0.319931239,0.496963004,0.048396854,0.544360615,0.820383371,0.120992136,0.109827142,0.09465962,0.133091349
137,7722,8371,16093,3950,1773,5290,3343,1737,24.5,11,32.9,20.8,10.8,62.9,42.30118443,57.33459357,71.462758,84.16810593,37.3,85.7,24.6,61.6,31.5,83.3,40.5,93.3,66.9,97.9,99.3,0,0.6,0.1,0.01,15979,95,4,14,1,95.12,0.09,0.15,0.07,0.019,4.55,92.39443102,88.97810219,98.22485207,5.200782419,7.53649635,1.214574899,1.150615579,1.770072993,0.093428838,1.150615579,1.587591241,0.4048583,0.103555402,0.127737226,0.062285892
138,11057,12249,23306,6232,2929,7627,4123,2395,26.7,12.6,32.7,17.7,10.3,71,60.60088767,67.28726891,76.88576279,85.09394572,50.7,88.2,41.1,80,47.1,85.8,53.6,92.2,71.1,97.3,99.9,0,0.1,0,0.00,23285,18,0,2,1,93.50,0.12,0.01,0.00,0.000,6.37,95.41794638,93.8331318,97.98001738,2.398937495,3.345425232,0.868809731,0.630862455,0.832997447,0.304083406,1.062505188,1.531640468,0.304083406,0.489748485,0.456805052,0.543006082
139,19514,17774,20774,6634,2456,6465,3540,1679,31.9,11.8,31.1,17,8.1,62.3,51.38436482,59.81438515,65.02824859,82.25134008,42.1,79.1,34.7,66.5,40.4,76.8,40.2,83.4,65,95.6,99.5,0,0.3,0.2,0.04,20669,63,0,34,8,87.88,0.22,0.07,0.04,0.000,11.79,89.36432833,86.75136116,93.69024857,5.225262292,6.533575318,3.059273423,1.974902283,2.969806963,0.327779295,2.098333676,2.98630589,0.628243649,1.337173421,0.758950668,2.294455067
140,9351,9763,19114,6528,3151,5562,2771,1102,34.2,16.5,29.1,14.5,5.8,70.8,65.12218343,66.50485437,77.80584626,91.19782214,45.3,94.5,40.2,89.5,38.3,94.4,52.7,97.9,81.5,99.3,100,0,0,0,0.00,19105,6,0,3,0,99.84,0.04,0.00,0.00,0.000,0.12,95.1419214,92.82042191,98.86331344,2.237991266,3.315015068,0.511508951,0.927947598,1.489097678,0.028417164,1.211790393,1.755007977,0.341005968,0.480349345,0.620457366,0.255754476
141,12033,12943,24976,8844,4235,7137,3165,1595,35.4,17,28.6,12.7,6.4,67.7,60.44864227,63.31792069,75.63981043,90.65830721,40.1,91.7,34.8,87.9,33.1,90.1,44.1,95.8,80.7,99.2,99.5,0,0.1,0.4,0.01,24853,16,2,103,2,99.10,0.10,0.02,0.01,0.312,0.47,92.72149103,89.88060571,97.10307658,3.568589347,5.008736168,1.347406243,1.157141595,1.878276063,0.044913541,1.536966699,2.31508445,0.336851561,1.015811324,0.917297612,1.167752077
142,9454,10897,20351,4671,2238,6336,4354,2752,23,11,31.1,21.4,13.5,58,35.79088472,46.84343434,68.76435462,84.62936047,34.6,77.6,14.7,54,21.2,68.9,41.2,88.7,70,98.9,99.9,0,0.1,0,0.02,20323,23,0,0,5,64.63,0.09,0.02,0.02,0.000,35.25,95.59009579,93.82426287,98.42315839,2.476052774,3.432594983,0.941397976,0.641604916,1.012175444,0.047069899,1.093439364,1.52559777,0.40009414,0.198807157,0.205368931,0.188279595
143,17609,17188,34797,12323,6823,8961,4519,2171,35.4,19.6,25.8,13,6.2,90.6,90.35614832,87.89197634,93.0073025,97.69691386,83.2,97.7,84.7,96.8,77.6,97,85.8,99.3,95.1,99.9,21.9,0,0.1,78.1,0.00,7604,19,0,27174,0,21.89,0.00,0.01,0.00,77.380,0.72,96.20262286,95.12777893,98.63593603,1.542008935,2.025763557,0.446848542,0.417927655,0.592146271,0.023518344,1.196137772,1.579056721,0.32925682,0.641302781,0.675254519,0.564440263
144,13820,15222,29042,8795,3970,9028,5103,2146,30.3,13.7,31.1,17.6,7.4,63.8,49.01763224,59.53699601,73.29022144,86.25349487,32.7,90.9,18.4,76.4,26,91.6,42,96.7,70.4,99,100,0,0,0,0.00,29032,8,1,1,0,99.71,0.01,0.01,0.01,0.000,0.26,96.22191011,94.66135458,98.73510541,2.092696629,3.198634035,0.311640697,0.66011236,1.024473534,0.073327223,0.716292135,0.910643142,0.403299725,0.308988764,0.204894707,0.476626948
145,16551,16877,33428,12184,4750,9813,4639,2042,36.4,14.2,29.4,13.9,6.1,67.3,56.56842105,64.2820748,75.01616728,88.9324192,39.8,93.2,28.9,83.5,33.4,93.9,46,98.6,79.5,99.9,99.2,0,0.6,0.1,0.00,33171,205,2,50,0,99.62,0.10,0.01,0.02,0.018,0.22,91.53316563,87.12057336,98.98540406,5.825499801,8.979763912,0.498398006,0.476631802,0.73777403,0.035599858,1.74764994,2.592748735,0.320398718,0.417052827,0.569139966,0.160199359
146,24754,27795,52549,13343,5822,17553,10250,5581,25.4,11.1,33.4,19.5,10.6,66.5,44.07420131,61.4310944,76.28292683,87.58287045,41.1,87.9,20.9,65.1,33.7,87.2,50.3,95.3,73.6,98.6,99.8,0,0.2,0,0.00,52459,80,5,4,1,91.80,0.09,0.02,0.02,0.000,8.07,93.59551796,91.38572425,97.35774369,3.475044857,4.952336666,0.959920831,1.223040023,1.860032551,0.138545275,1.201069245,1.540339456,0.623453736,0.505327914,0.261567077,0.920336467
147,14820,15751,30571,9094,4291,9330,5430,2426,29.7,14,30.5,17.8,7.9,64.7,39.05849452,62.05787781,77.18232044,92.58037923,39.9,87.4,16,61.2,32.8,89.8,52.3,97.8,85,99.5,99.6,0,0,0.3,0.00,30457,12,0,102,0,99.35,0.03,0.00,0.01,0.039,0.57,93.81540747,91.5820643,97.75910364,3.753966646,5.203045685,1.195144725,1.093781649,1.670896785,0.074696545,0.918236446,1.216159052,0.392156863,0.418607792,0.327834179,0.578898226
148,19967,21294,41261,9425,4957,13806,8743,4330,22.8,12,33.5,21.2,10.5,49.5,27.19386726,42.26423294,57.79480727,81.22401848,26.9,69.9,11.3,43.8,20.4,63.6,29.5,79.8,65.2,94.5,99.3,0,0.4,0.2,0.10,40959,168,6,86,42,86.07,0.26,0.07,0.09,0.107,13.40,84.63472677,80.82239598,91.50622877,5.563288582,7.379223681,2.290172392,1.688294194,2.45741413,0.302000755,3.632526604,5.068416643,1.044419278,4.481163845,4.272549567,4.85717881
